ProviderNumber,HospitalName,Address1,City,ZipCode,CountyName,PhoneNumber,HospitalOwner,Condition,Sample,label
10011,ST VINCENP'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,JEFFERSON,2058383122,Voluntary non-profit - Private,Pneumonia,69 patients,0
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,36323,COFFEE,3348972257,Voluntary non-profit - Other,Surgical Infection Prevention,0 patients,0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,35570,MARIYN,2059216200,Voluntary non-profit - Private,Pneumonia,42 patients,0
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDTLUSIA,36420,COVINGTON,3342228466,Proprietary,Heart Attack,3 patients,0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EVST SOUTH BOULEVARD,MONTGOMERY,36116,MONTGOMERY,3342882100,Voluntary non-profit - Church,Surgical Infection Prevention,392 patients,0
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,HARTSELLE,36201,CALHOUN,2562358900,Proprietary,Heart Attack,73 patients,0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PSNE STREET,MONTGOMERY,36106,MONTGOMERY,3342938000,Voluntary non-profit - Private,Pneumonia,184 patients,0
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,36323,CHAMBERS,3347561400,Voluntary non-profit - Other,Surgical Infection Prevention,19 patients,0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACXUGA,35150,TALLADEGA,2562495000,Voluntary non-profit - Other,Heart Attack,4 patients,0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILOE,36067,AUTAUGA,3343614267,Voluntary non-profit - Private,Surgical Infection Prevention,10 patients,0
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,36420,DE KALB,2568453150,Voluntary non-profit - Church,Heart Attack,11 patients,0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,35640,MORGAN,2567736511,Proprietary,Surgical Infection Prevention,7 patients,0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,CRENSHAW,3343353374,Government - Federal,Heart Failure,26 patients,0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREZT,WEDOWEE,36278,RANDOLPH,2563572111,Government - Local,Pneumonia,30 patients,0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,SHELBY,2564944000,Voluntary non-profit - Church,Heart Failure,210 patients,0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,ZUVERNE,36049,CRENSHAW,3343353374,Government - Federal,Surgical Infection Prevention,2 patients,0
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,36305,HOUSTON,3347935000,Proprietary,Surgical Infection Prevention,165 patients,0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,36467,COVINGTON,3344933541,Voluntary non-profit - Private,Surgical Infection Prevention,77 patients,0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,35640,MORGAN,2567736511,Proprietary,Pneumonia,51 patients,0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,SHELBY,2056208100,Voluntary non-profit - Church,Heart Failure,210 patients,0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARP STREET SOUTH,HAMILTON,35570,MARION,2059216200,Voluntary non-profit - Private,Surgical Infection Prevention,4 patients,0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,CRENSHAW,3343353374,Government - Federal,Pneumonia,21 patients,0
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,35903,EFOWAH,2564944000,Proprietary,Heart Attack,18 patients,0
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,36116,MONTGOMEBY,3342882100,Voluntary non-profit - Church,Heart Failure,77 patients,0
10016,SHEKBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,SHELBY,2056208100,Voluntary non-profit - Church,Pneumonia,110 patients,0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEOOWEE,36278,RANDOLPH,2563572111,Government - Local,Heart Attack,4 patients,0
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,35640,MORGAN,2567736511,Proprietary,Pneumonia,45 patients,0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,35960,CHEROKEE,2569275531,Voluntary non-profit - Private,Pneumonia,44 patients,0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABAETER,35007,SHELBY,2056208100,Voluntary non-profit - Church,Heart Attack,36 patients,0
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,35555,FAYKTTE,2059325966,Voluntary non-profit - Other,Pneumonia,117 patients,0
10029,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,35901,ETOWAH,2565435200,Proprietary,Heart Attack,145 patients,0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1178 ROSS CLARK CIRCLE,DOTHAN,36302,HOUSTON,3347938701,Government - Hospital District or Authority,Pneumonia,191 patients,0
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCWORAGE,99508,ANCHORAGE,9072761131,Proprietary,Pneumonia,39 patients,0
