ID,Name,Author,Rating,Format,Publisher,Pages,Publishing Date,ISBN-10,ISBN-13
1101965355,Age of Myth: Book One of The Legends of the First Empire,Michael J. Sullivan,4.5 out of 5 stars,Paperback,Del Rey,464 pages,"January 31, 2017",1101965355,978-1101965351
1632911574,Rise of the Dragons (Kings and Sorcerers--Book 1),Morgan Rice,4.1 out of 5 stars,Hardcover,Morgan Rice,217 pages,"August 4, 2017",1632911574,978-1632911575
1470008955,The Book of Deacon (Volume 1),Joseph Lallo,4.3 out of 5 stars,Kindle,CreateSpace Independent Publishing Platform,322 pages,"March 18, 2012",1470008955,978-1470008956
1939416205,A Quest of Heroes: Book #1 in the Sorcerer's Ring,Morgan Rice,3.6 out of 5 stars,Hardcover,Morgan Rice,234 pages,"December 3, 2012",1939416205,978-1939416209
0435086219,Fantasia: An Algerian Cavalcade,Dorothy S. Blair,4.2 out of 5 stars,Kindle,Heinemann; 1 edition,227 pages,"March 15, 1993",0435086219,978-0435086213
1976890519,The Fantasy Baseball Black Book 2018 (Fantasy Black Book),Joe Pisapia,4.6 out of 5 stars,Kindle,Independently published,157 pages,"January 13, 2018",1976890519,978-1976890512
1544898711,Fantasy Baseball for Smart People: How to Use Math and Psychology to Win at DFS,Jonathan Bales,4.5 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform,178 pages,"March 23, 2017",1544898711,978-1544898711
1542456452,"Final Fantasy XV Guide: Walkthrough, Side Quests, Bounty Hunts, Food Recipes, Cheats, Secrets and More",Victor Arthur,3.7 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; 1 edition,296 pages,"January 9, 2017",1542456452,978-1542456456
0393330303,"Power, Faith, and Fantasy: America in the Middle East: 1776 to the Present",Michael B. Oren,4.4 out of 5 stars,Paperback,W. W. Norton &amp; Company; Reprint edition,864 pages,"February 17, 2008",0393330303,978-0393330304
1986117472,Fantasy Flower Garden: Adult Coloring Book of Fantastic Flowers and Friendly Animals,C L Aldridge,5.0 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform; First edition,102 pages,"March 3, 2018",1986117472,978-1986117470
0691178534,"Fashion, Faith, and Fantasy in the New Physics of the Universe",Roger Penrose,3.8 out of 5 stars,Paperback,Princeton University Press; Reprint edition,520 pages,"September 5, 2017",0691178534,978-0691178530
1539423441,The Wolf of the North: Wolf of the North Book 1 (Volume 1),Duncan M Hamilton,4.3 out of 5 stars,Paperback,CreateSpace Independent Publishing Platform,326 pages,"October 24, 2016",1539423441,978-1539423447
0648042472,Fantasy of Freedom (The Tainted Accords) (Volume 4),Kelly St Clare,4.9 out of 5 stars,Hardcover,Kelly St. Clare; 3 edition,284 pages,"October 10, 2016",0648042472,978-0648042471
1626926581,Grimgar of Fantasy and Ash (Light Novel) Vol. 1,Ao Jyumonji,4.3 out of 5 stars,Paperback,Seven Seas; Reprint edition,280 pages,"June 6, 2017",1626926581,978-1626926585
0739014013,"Fantasia in D minor, K. 397: Sheet (Alfred Masterwork Edition)",Wolfgang Amadeus Mozart,4.0 out of 5 stars,Kindle,Alfred Music,8 pages,"April 1, 1987",0739014013,978-0739014011
