ProviderNumber,HospitalName,Address1,City,State,ZipCode,CountyName,PhoneNumber,label
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 60,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,misspellings
10055,FLOWERS HOSPITAL,0,DOTHAN,AL,36305,HOUSTON,3347935000,np
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,0,DE KALB,2568453150,np
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,truth
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,HL,36420,COVINGTON,3342228466,misspellings
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OYARK,AL,36360,DALE,3347742601,misspellings
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,truth
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAP 43,WINFIELD,AL,35594,MARION,2054877736,misspellings
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALREY,AL,36854,CHAMBERS,3347561400,misspellings
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,3344933541,shuffling
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,truth
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STRLET,ENTERPRISE,AL,36330,COFFEE,3343470584,misspellings
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0,np
10016,DALE MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,shuffling
10022,CHEROKEE MEDICAL CENTER,8000 ALABAMA HIGHWAY 69,CENTRE,AL,35960,CHEROKEE,2569275531,shuffling
10025,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,shuffling
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2053258100,shuffling
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,0,np
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2567736511,shuffling
10038,0,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,np
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,truth
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0,np
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,MARSHALL,3347938701,shuffling
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,0,np
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,0,AL,36049,CRENSHAW,3343353374,np
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGFMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,misspellings
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,BL,36360,DALE,3347742601,misspellings
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE,AL,35640,MORGAN,2567736511,truth
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,0,2059325966,np
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,truth
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,3343762205,shuffling
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,shuffling
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,truth
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,truth
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,truth
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,DOTHAN,AL,36302,HOUSTON,3347938701,shuffling
10050,ST VIRCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,misspellings
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENIERPRISE,AL,36330,COFFEE,3343470584,misspellings
10005,MARSHALL MEDICAL CENTER SOUTH,0,BOAZ,AL,35957,MARSHALL,2565938310,np
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,truth
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,BUTLER,2565435200,shuffling
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36302,HOUSTON,3347938701,truth
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISNON,AL,36201,CALHOUN,2562358900,misspellings
10016,SOUTHWEST ALABAMA MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,shuffling
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE,AL,36784,CLARKE,3346366221,truth
10022,CHEROKEE MEDICAL CENTER,400 NORXHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,misspellings
10012,DEKALB REGIONAL MEDICAL CUNTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,misspellings
10019,HELEN KELLER MEMORIAL HBSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,JEFFERSON,2563864556,misspellings
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,BIRMINGHAM,AL,35631,LAUDERDALE,2567688400,shuffling
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,truth
10043,CHILTON MEDICAL CENTER,1010 LAG DAM ROAD,CLANTON,AL,35045,CHILTON,2057552500,misspellings
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,XEE,3347493411,misspellings
10040,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,shuffling
10021,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,shuffling
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,2052743000,truth
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,0,MARION,2054877736,np
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,0,2563572111,np
10010,MARSHALL MEDICAL CENTER SOUTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,shuffling
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,truth
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,shuffling
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AI,36067,AUTAUGA,3343614267,misspellings
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,shuffling
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUGAUGA,3343614267,misspellings
10021,DALE MENICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,misspellings
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,0,LAUDERDALE,2567688400,np
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,0,36854,CHAMBERS,3347561400,np
0,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,np
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,YEFFERSON,2563864556,misspellings
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,truth
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,truth
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,0,35233,JEFFERSON,2053258100,np
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,truth
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,shuffling
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,36330,DE KALB,2568453150,shuffling
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,truth
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,0,np
0,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,np
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,truth
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,0,2567688400,np
10049,MEDICAL CENTER ENTERPRISE,0,ENTERPRISE,AL,36330,COFFEE,3343470584,np
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA,AL,36323,KOFFEE,3348972257,misspellings
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0,np
10038,GADSDEN REGIONAL MEDICAL CENTER,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,shuffling
10045,MIZELL MEMORIAL HOSPITAL,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,shuffling
10034,COMMUNITY HOSPITAZ INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,misspellings
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,36467,ETOWAH,2565435200,shuffling
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,truth
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELVKA,AL,36801,LEE,3347493411,misspellings
10036,MARSHALL MEDICAL CENTER NORTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,shuffling
10027,0,987 DRAYTON STREET,ELBA,AL,36323,COFFEE,3348972257,np
10012,EAST ALABAMA MEDICAL CENTER AND SNF,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,shuffling
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2565938310,shuffling
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,0,AUTAUGA,3343614267,np
10049,MEDICAL CENTER ENTERPRISE,619 SOUTH 19TH STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,shuffling
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,truth
