ProviderNumber,HospitalName,Address1,City,ZipCode,CountyName,PhoneNumber,HospitalOwner,EmergencyService,Condition,label
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,35660,JEFFERSON,2563864556,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,1.0
10045,,1653 TEMPLE AVENUE NORTH,FAYETTE,35555,FAYETTE,2059325966,Voluntary non-profit - Other,Yes,Heart Attack,0.0
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,35976,MARSHALL,2565718000,Government - Hospital District or Authority,Yes,Heart Attack,1.0
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,35594,MARION,2054877736,Proprietary,Yes,Heart Attack,1.0
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,,COVINGTON,3342228466,Proprietary,No,Pneumonia,0.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,JEFFERSON,2059344011,,Yes,Surgical Infection Prevention,0.0
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,CRINSHAW,3343353374,Government - Federal,Yes,Surgical Infection Prevention,0.0
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,36078,ELMORE,3342836541,Voluntary non-profit - Private,No,Pneumonia,1.0
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,JEFFERSON,2058383122,Voluntary non-profit - Private,Yes,Heart Attack,1.0
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,36323,COFFEE,3348972257,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,0.0
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,35960,CHWROKEE,2569275531,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,0.0
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,35570,MARION,2059216200,Voluntary non-profit - Private,Yes,Heart Failure,0.0
10033,CRENSHAW COMMUNITY HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,JEFFERSON,2059344011,Government - State,Yes,Heart Attack,0.0
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,36467,COVINGTON,3344933541,Voluntary non-profit - Private,No,Surgical Infection Prevention,0.0
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,SHELIY,2056208100,Voluntary non-profit - Church,Yes,Heart Failure,0.0
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,,BUTLER,3343762205,Voluntary non-profit - Private,No,Surgical Infection Prevention,0.0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,36278,RANDOLPH,,Government - Local,No,Heart Attack,0.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,36067,AUTAUGA,3343614267,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,0.0
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,35233,JEFFERSON,2059344011,Government - State,,Pneumonia,0.0
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,36278,RANDOLPH,2563572111,Government - Local,No,Surgical Infection Prevention,1.0
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,VALLEY,36106,MONTGOMERY,3342938000,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,0.0
